sentence,lexical_unit,gold_frame,frame_definition,domain,sentence_length,is_long_context,is_ambiguous_lu,hard_negative_frames
"Greene remarked on how seldom the nation 's directors used the camera ` to establish a scene , a way of life , with which he and his audience are familiar . """,director,Behind_the_scenes,"Artists work at various tasks that further the completion of a film, play, television show, or other similar Production. Artists never appear on stage or in front of a camera. Some (e.g., a director) may interact with the actors (on-screen participants) of the Production. Often times a particular Production is made for distribution by a Distributor, by a particular Studio, or in a specific Medium. The Artists may be categorized into Type or work in specific Medium. 'Steven Spielberg directed several films for Universal Pictures.' 'Universal Pictures and Amblin Entertainment produced Jurassic Park for MCA.' 'Surprisingly, this film producer was willing to work for a cable company.' 'Independent producers often win big at smaller film festivals.'",general,33,True,True,Appellations|Leadership|People_by_vocation
"The solution to this problem was for Mrs Whitehouse personally to take a private prosecution of the play 's director , Michael Bogdanov .",director,Behind_the_scenes,"Artists work at various tasks that further the completion of a film, play, television show, or other similar Production. Artists never appear on stage or in front of a camera. Some (e.g., a director) may interact with the actors (on-screen participants) of the Production. Often times a particular Production is made for distribution by a Distributor, by a particular Studio, or in a specific Medium. The Artists may be categorized into Type or work in specific Medium. 'Steven Spielberg directed several films for Universal Pictures.' 'Universal Pictures and Amblin Entertainment produced Jurassic Park for MCA.' 'Surprisingly, this film producer was willing to work for a cable company.' 'Independent producers often win big at smaller film festivals.'",general,24,True,True,Appellations|Leadership|People_by_vocation
"Notably , he ran up against director Henry Hathaway who was known as one of the toughest directors in the business , and Hopper had a minor role in From Hell to Texas .",director,Behind_the_scenes,"Artists work at various tasks that further the completion of a film, play, television show, or other similar Production. Artists never appear on stage or in front of a camera. Some (e.g., a director) may interact with the actors (on-screen participants) of the Production. Often times a particular Production is made for distribution by a Distributor, by a particular Studio, or in a specific Medium. The Artists may be categorized into Type or work in specific Medium. 'Steven Spielberg directed several films for Universal Pictures.' 'Universal Pictures and Amblin Entertainment produced Jurassic Park for MCA.' 'Surprisingly, this film producer was willing to work for a cable company.' 'Independent producers often win big at smaller film festivals.'",general,34,True,True,Appellations|Leadership|People_by_vocation
"For the Royal Family to remain secure they have to remain aloof -- I do not believe that is right , but that is what they should have done .",secure,Being_at_risk,"An Asset is in a state where it is exposed to or otherwise liable to be affected by a Harmful_event, which may be metonymically evoked by reference to a Dangerous_entity. Words expressing relative safety (i.e., lack of risk) are also in this frame. 'If you are a farmer, you are at risk for hearing loss caused by noise exposure in your work.' 'No child is secure from the temptation to do what ""my friends"" are doing.' 'Our nation is making a disastrous mistake thinking that we can have security from people: There is only security with people. ' 'You don't have security against impersonation unless you have security against eavesdropping.'",daily_life,30,True,True,Attaching|Getting|Protecting|Taking_captive
"In the past , firms not authorised for investment business could feel fairly secure in the knowledge that if they did stray into it they would only be investigated in the event of a complaint .",secure,Being_at_risk,"An Asset is in a state where it is exposed to or otherwise liable to be affected by a Harmful_event, which may be metonymically evoked by reference to a Dangerous_entity. Words expressing relative safety (i.e., lack of risk) are also in this frame. 'If you are a farmer, you are at risk for hearing loss caused by noise exposure in your work.' 'No child is secure from the temptation to do what ""my friends"" are doing.' 'Our nation is making a disastrous mistake thinking that we can have security from people: There is only security with people. ' 'You don't have security against impersonation unless you have security against eavesdropping.'",general,36,True,True,Attaching|Getting|Protecting|Taking_captive
"Actually , they were feeling quite secure at the time for the Museum building was hurricane proof , one of the strongest around .",secure,Being_at_risk,"An Asset is in a state where it is exposed to or otherwise liable to be affected by a Harmful_event, which may be metonymically evoked by reference to a Dangerous_entity. Words expressing relative safety (i.e., lack of risk) are also in this frame. 'If you are a farmer, you are at risk for hearing loss caused by noise exposure in your work.' 'No child is secure from the temptation to do what ""my friends"" are doing.' 'Our nation is making a disastrous mistake thinking that we can have security from people: There is only security with people. ' 'You don't have security against impersonation unless you have security against eavesdropping.'",general,24,True,True,Attaching|Getting|Protecting|Taking_captive
The onus must now be on the industry to provide more secure machines and on users to make sure that their own security procedures ( including the simple step of locking office doors ) is unimpeachable .,secure,Being_at_risk,"An Asset is in a state where it is exposed to or otherwise liable to be affected by a Harmful_event, which may be metonymically evoked by reference to a Dangerous_entity. Words expressing relative safety (i.e., lack of risk) are also in this frame. 'If you are a farmer, you are at risk for hearing loss caused by noise exposure in your work.' 'No child is secure from the temptation to do what ""my friends"" are doing.' 'Our nation is making a disastrous mistake thinking that we can have security from people: There is only security with people. ' 'You don't have security against impersonation unless you have security against eavesdropping.'",business,37,True,True,Attaching|Getting|Protecting|Taking_captive
Software users should operate secure and efficient housekeeping systems to reduce the danger of unauthorized copies being made of programs .,secure,Being_at_risk,"An Asset is in a state where it is exposed to or otherwise liable to be affected by a Harmful_event, which may be metonymically evoked by reference to a Dangerous_entity. Words expressing relative safety (i.e., lack of risk) are also in this frame. 'If you are a farmer, you are at risk for hearing loss caused by noise exposure in your work.' 'No child is secure from the temptation to do what ""my friends"" are doing.' 'Our nation is making a disastrous mistake thinking that we can have security from people: There is only security with people. ' 'You don't have security against impersonation unless you have security against eavesdropping.'",news_politics,21,True,True,Attaching|Getting|Protecting|Taking_captive
"Leeds Education Authority has abandoned plans for ` drastic "" cuts in travel subsidies for some Catholic students .",abandon,Abandonment,An Agent leaves behind a Theme effectively rendering it no longer within their control or of the normal security as one's property. 'Carolyn abandoned her car and jumped on a red double decker bus.' 'Perhaps he left the key in the ignition' 'Abandonment of a child is considered to be a serious crime in many jurisdictions.' There are also metaphorically used examples: 'She left her old ways behind .',general,19,False,True,Activity_stop|Quitting_a_place
"Morton drifted into the grand salon , which was teeming with people .",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'",general,13,False,True,Abundance|Mass_motion
"If the Universe is teeming with technological civilizations , why have they not come to visit us ?",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'",general,18,False,True,Abundance|Mass_motion
"Until the 1940s , its beaches teemed with wildlife .",teem,Abounding_with,"A Location is filled or covered with the Theme. The Location is realized as the External Argument, and the Theme either as PP complement headed by with, in or of. NB: This frame does not include uses of adjectives like paved when they merely specify the Type of some location, as in ""paved and unpaved roads"". 'The waters of the bay teemed with fish.' 'The waters of the bay were teeming with fish.' 'The road was completely covered in mud.'",general,10,False,True,Abundance|Mass_motion
The wild pigs on the spit sizzled gently .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,9,False,True,Make_noise|Sounds
"Breakfast of sausage , egg and chips was sizzling over camp-fires .",sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,12,False,True,Make_noise|Sounds
"The torsos sizzle in their own fat , swell and explode . """,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,13,False,True,Make_noise|Sounds
She did this now and the spit sizzled on the iron .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,12,False,True,Make_noise|Sounds
The omelette sizzled in the cast-iron pan .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,8,False,True,Make_noise|Sounds
Droplets of coffee sizzled on the hotplate .,sizzle,Absorb_heat,"An Entity (generally food) is exposed to a Heat_source whose Temperature may also be specified. Generally, the Entity undergoes some sort of change as a result of this process. 'Bacon was frying in the pan, and a great heap of eggs already lay steaming on a plate.' 'If it cooks at 400 for an hour, it 'll be nothing but a pile of ash!'",general,8,False,True,Make_noise|Sounds
The second generation thrombolytic agents are recombinant tissue plasminogen activator ( rt-PA ) and APSAC ( anistreplase ) .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',general,19,False,True,Intentionally_act|People_by_vocation
Currently available thrombolytic agents have several important limitations .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',general,9,False,True,Intentionally_act|People_by_vocation
After any effective thrombolytic agent the patient is usually left with a patent vessel .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',science_medical,15,False,True,Intentionally_act|People_by_vocation
Various pharmacological agents can modulate the IP 3 R but their actions are not particularly specific .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',general,17,False,True,Intentionally_act|People_by_vocation
"Biological agents provide promising alternatives , but we need to understand more about their modes of action .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. ',general,18,False,True,Intentionally_act|People_by_vocation
“ I keep getting interrupted .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,6,False,True,Cause_to_continue|Compliance|Retaining|Storing
"I kept expecting the teacher to praise her , but instead she suddenly cried out ,",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,16,False,True,Cause_to_continue|Compliance|Retaining|Storing
"I kept saying to them all in my mind , ` You see ?",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,14,False,True,Cause_to_continue|Compliance|Retaining|Storing
I have a friend who owns an ST and he keeps telling me to sell my C64 .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",daily_life,18,False,True,Cause_to_continue|Compliance|Retaining|Storing
Do n't keep painting over chipped or worn polish .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,10,False,True,Cause_to_continue|Compliance|Retaining|Storing
"` I keep telling him people ca n't see him on the radio . """,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,15,False,True,Cause_to_continue|Compliance|Retaining|Storing
I kept my hands clasped tightly to avoid the habitual gesture of hiding myself from sight .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",general,17,False,True,Cause_to_continue|Compliance|Retaining|Storing
I said after last Tuesday 's game that if we kept working our luck would turn .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'",sports,17,False,True,Cause_to_continue|Compliance|Retaining|Storing
Dougal started with the body .,start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",general,6,False,True,Catching_fire|Process_start|Temporal_subregion
Rostov started to walk towards the door .,start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",news_politics,8,False,True,Catching_fire|Process_start|Temporal_subregion
"Penelope choked on her pudding and started to cry , angry , uncontrollable tears .",start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",general,15,False,True,Catching_fire|Process_start|Temporal_subregion
"Fribble started to speak again , but received such a blazing look from Fael-Inis that he subsided .",start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",general,18,False,True,Catching_fire|Process_start|Temporal_subregion
Gary Kilpartrick has now started working with YWAM in Switzerland .,start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",general,11,False,True,Catching_fire|Process_start|Temporal_subregion
"Luce shivered , her imagination suddenly starting to work overtime .",start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",general,11,False,True,Catching_fire|Process_start|Temporal_subregion
"Then the girl , Dolly , suddenly started to caper .",start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",general,11,False,True,Catching_fire|Process_start|Temporal_subregion
Well the council started then and they took on machines of their own .,start,Activity_start,"An Agent initiates the beginning of an ongoing Activity in which he will be continuously involved. '' 'At the same time, city-states began to grow in influence on the southern Greek mainland.' 'Naturally, I started crying to get out of work.'",news_politics,14,False,True,Catching_fire|Process_start|Temporal_subregion
"Oh , if only she could stop crying …",stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",general,9,False,True,Halt|Preventing_or_letting|Process_stop|Thwarting
He stopped buying them for her when they got married .,stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",general,11,False,True,Halt|Preventing_or_letting|Process_stop|Thwarting
The little boy stopped crying .,stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",general,6,False,True,Halt|Preventing_or_letting|Process_stop|Thwarting
They had almost stopped resuscitating him on the grounds that the doctor had n't remembered his diagnosis .,stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",general,18,False,True,Halt|Preventing_or_letting|Process_stop|Thwarting
""" And then , about four months ago , Mr. Andrew stopped coming to the office .",stop,Activity_stop,"An Agent ceases an Activity without completing it. '' 'After the lawsuit, the company stopped producing the once very profitable toy.' 'The rugby club terminated negotiations with Argyll in September 1988.'",general,17,False,True,Halt|Preventing_or_letting|Process_stop|Thwarting
About time there was some acknowledgement of the true value of fans .,true,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below. 'Actual results may vary.' 'ACTUAL results may vary.' 'Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Also present is the ACTUAL policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Of course, an actual car with all these capabilities simply did not exist.' 'Of course, an ACTUAL car with all these capabilities simply did not exist.'",general,13,False,True,Accuracy|Artificiality|Candidness|Correctness|Exemplar
This is the true story .,true,Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an Instance of a Type encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world Instance of the expected Type may also be presented as not occurring, as in the last example below. 'Actual results may vary.' 'ACTUAL results may vary.' 'Also present is the actual policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Also present is the ACTUAL policeman, now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.' 'Of course, an actual car with all these capabilities simply did not exist.' 'Of course, an ACTUAL car with all these capabilities simply did not exist.'",general,6,False,True,Accuracy|Artificiality|Candidness|Correctness|Exemplar
The debris scores were totalled and divided by the number of surfaces scored to obtain the debris index .,total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",general,19,False,True,Amounting_to|Completeness|Render_nonfunctional
"Next , the word count for the sentence is totalled .",total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",general,11,False,True,Amounting_to|Completeness|Render_nonfunctional
Each analysis column is totalled separately .,total,Adding_up,"A Cognizer computes a Result on the basis of input Numbers by addition. ' Add up your savings.' ' This is a cumulative figure obtained by adding up the cost of treating a given volume of specific diseases. ' 'When he later took the trouble to add up the bill he discovered that the actual cost was Fr 1,481 , around 140 pounds : an overcharge of 40 pounds' 'Chaperones tallied the number of tickets sold at the school dance at more than 1000.'",general,7,False,True,Amounting_to|Completeness|Render_nonfunctional
"` He amassed wealth in his travels , "" Sir Fulke snapped back .",amass,Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (e.g. stockpile) specifically indicate an intentional Recipient. This frame differs from Gathering_up in that this frame refers specifically to the acquisition and (according to expectation) long-term possession of entities, rather than (as in the Gathering_up frame) simply talking about causing a group of entities to be located in the same place. In sum, Gathering_up concerns (co-)locations, but Amassing concerns possession. 'Bogs accumulate carbon for thousands of years.'",general,14,False,True,Come_together|Gathering_up
"It was cool and fresh in the summer , the back yard blooming with wallflowers and purple bells .",cool,Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' 'Tomorrow is gonna be chilly.' 'I ca n't go out into the cold . DNI DNI'",general,19,False,True,Cause_temperature_change|Change_of_temperature|Desirability|Experiencer_focus|Popularity
"It was hot outside , but under the trees it was cool .",cool,Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' 'Tomorrow is gonna be chilly.' 'I ca n't go out into the cold . DNI DNI'",general,13,False,True,Cause_temperature_change|Change_of_temperature|Desirability|Experiencer_focus|Popularity
It is cool outside as I throw a log on the gently breathing embers .,cool,Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' 'Tomorrow is gonna be chilly.' 'I ca n't go out into the cold . DNI DNI'",general,15,False,True,Cause_temperature_change|Change_of_temperature|Desirability|Experiencer_focus|Popularity
The morning was cool and so was Betty .,cool,Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' 'Tomorrow is gonna be chilly.' 'I ca n't go out into the cold . DNI DNI'",general,9,False,True,Cause_temperature_change|Change_of_temperature|Desirability|Experiencer_focus|Popularity
"Every Koi keeper should have one of these , stored in a cool , dark place .",cool,Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' 'Tomorrow is gonna be chilly.' 'I ca n't go out into the cold . DNI DNI'",general,17,False,True,Cause_temperature_change|Change_of_temperature|Desirability|Experiencer_focus|Popularity
Her suite of rooms was cool and restful and there was a small balcony beyond the bedroom window .,cool,Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' 'Tomorrow is gonna be chilly.' 'I ca n't go out into the cold . DNI DNI'",daily_life,19,False,True,Cause_temperature_change|Change_of_temperature|Desirability|Experiencer_focus|Popularity
A round neck T-shirt in purest cotton for cooler days .,cool,Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' 'Tomorrow is gonna be chilly.' 'I ca n't go out into the cold . DNI DNI'",general,11,False,True,Cause_temperature_change|Change_of_temperature|Desirability|Experiencer_focus|Popularity
"The entire sale is expected to total around £500,000 ( $860,000 ) .",total,Amounting_to,"The absolute Value of a quantifiable Attribute of an item is determined by adding up the values for the Attribute of the individuals or parts that make up the item. The item is not expressed as a separate constituent but it is presupposed by the concept of Attribute. Alternatively, the Numbers form an implicit set whose sum is the Value associated with the set. In some cases what is reported is just the cardinality of the individuals that make up the item so that in effect the Value is a count. In other cases the identity of the Attribute can only be inferred from the Value. There is no cognizer on the scene in this frame. Instead, the frame focuses on the relationship between the Attribute or Numbers and the Value, which is stable and unchanging regardless of who performs the calculation. 'Defence is provided in West Germany by armed forces whose number totals close to half a million men and women ' . ' Revenues totalled 568.86m pounds ' 'The WHO estimated that the cumulative total of AIDS cases was more than 1,500,000. '",general,13,False,True,Adding_up|Completeness|Render_nonfunctional
"The sale totalled £14,356,595 , with 40 per cent bought in by value .",total,Amounting_to,"The absolute Value of a quantifiable Attribute of an item is determined by adding up the values for the Attribute of the individuals or parts that make up the item. The item is not expressed as a separate constituent but it is presupposed by the concept of Attribute. Alternatively, the Numbers form an implicit set whose sum is the Value associated with the set. In some cases what is reported is just the cardinality of the individuals that make up the item so that in effect the Value is a count. In other cases the identity of the Attribute can only be inferred from the Value. There is no cognizer on the scene in this frame. Instead, the frame focuses on the relationship between the Attribute or Numbers and the Value, which is stable and unchanging regardless of who performs the calculation. 'Defence is provided in West Germany by armed forces whose number totals close to half a million men and women ' . ' Revenues totalled 568.86m pounds ' 'The WHO estimated that the cumulative total of AIDS cases was more than 1,500,000. '",general,14,False,True,Adding_up|Completeness|Render_nonfunctional
In 1989-90 the NAO audited expenditure and revenue totalling over £300 billion .,total,Amounting_to,"The absolute Value of a quantifiable Attribute of an item is determined by adding up the values for the Attribute of the individuals or parts that make up the item. The item is not expressed as a separate constituent but it is presupposed by the concept of Attribute. Alternatively, the Numbers form an implicit set whose sum is the Value associated with the set. In some cases what is reported is just the cardinality of the individuals that make up the item so that in effect the Value is a count. In other cases the identity of the Attribute can only be inferred from the Value. There is no cognizer on the scene in this frame. Instead, the frame focuses on the relationship between the Attribute or Numbers and the Value, which is stable and unchanging regardless of who performs the calculation. 'Defence is provided in West Germany by armed forces whose number totals close to half a million men and women ' . ' Revenues totalled 568.86m pounds ' 'The WHO estimated that the cumulative total of AIDS cases was more than 1,500,000. '",general,13,False,True,Adding_up|Completeness|Render_nonfunctional
"Indeed , our contribution to the UNHCR this financial year totals some £40 million .",total,Amounting_to,"The absolute Value of a quantifiable Attribute of an item is determined by adding up the values for the Attribute of the individuals or parts that make up the item. The item is not expressed as a separate constituent but it is presupposed by the concept of Attribute. Alternatively, the Numbers form an implicit set whose sum is the Value associated with the set. In some cases what is reported is just the cardinality of the individuals that make up the item so that in effect the Value is a count. In other cases the identity of the Attribute can only be inferred from the Value. There is no cognizer on the scene in this frame. Instead, the frame focuses on the relationship between the Attribute or Numbers and the Value, which is stable and unchanging regardless of who performs the calculation. 'Defence is provided in West Germany by armed forces whose number totals close to half a million men and women ' . ' Revenues totalled 568.86m pounds ' 'The WHO estimated that the cumulative total of AIDS cases was more than 1,500,000. '",general,15,False,True,Adding_up|Completeness|Render_nonfunctional
Payments totalling seventy-thousand pounds are said to have been involved .,total,Amounting_to,"The absolute Value of a quantifiable Attribute of an item is determined by adding up the values for the Attribute of the individuals or parts that make up the item. The item is not expressed as a separate constituent but it is presupposed by the concept of Attribute. Alternatively, the Numbers form an implicit set whose sum is the Value associated with the set. In some cases what is reported is just the cardinality of the individuals that make up the item so that in effect the Value is a count. In other cases the identity of the Attribute can only be inferred from the Value. There is no cognizer on the scene in this frame. Instead, the frame focuses on the relationship between the Attribute or Numbers and the Value, which is stable and unchanging regardless of who performs the calculation. 'Defence is provided in West Germany by armed forces whose number totals close to half a million men and women ' . ' Revenues totalled 568.86m pounds ' 'The WHO estimated that the cumulative total of AIDS cases was more than 1,500,000. '",general,11,False,True,Adding_up|Completeness|Render_nonfunctional
