sentence,lexical_unit,gold_frame,frame_definition
"The New Musical Express , stumbling after the new wave , advertised bells and full hippy regalia , from the people who had brought Beatle jackets to the young .",regalia,Accoutrements,"A Wearer wears accessories, which are made of some Material and may have a Style. Most of the accessories are non-essential (clothing) items. 'She wore a black velvet hat on her head.'"
This helps stress the need to get the whole approach right if the landings are to be reasonably accurate .,accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
Large samples should permit more accurate estimates of prevalence than smaller studies .,accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
"The neolithic builders were highly accurate , curving the stone lintels to follow the circumference of a circle and aligning the stones with the exact positions of the midwinter and midsummer sun .",accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
"For further and more accurate identification of meiotic bivalents , or in the interpretation of abnormal configurations , C-banding will be found helpful .",accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
"Speedy , and with neat control , his shooting was accurate and his use of dead-ball situations intelligent and effective .",accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
It is crucially dependent upon accurate forecasting and the ability of the MAC to deliver the right student numbers in the right field combinations .,accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
"Another side of Alfieri 's very accurate sense of perception , is his fatalism .",accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
However random access is fast and accurate and VHD is the main rival on the British market to the Active Play laser disc for education and training uses .,accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
Bar charts are very versatile and accurate .,accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
Farmers would have to be 100 per cent accurate in the identification system to avoid losing out on premium payments .,accurate,Accuracy,"An Agent is involved in an activity whose degree of success is dependent on a parameter of the action matching a particular set of values of a continuous variable or variables (e.g. quantity, location, time). The Agent, or metonymically the Instrument or Means action, is described in terms of the actual or expected Deviation between the location, time, or quantity in the activity and the location, time, or quantity which is necessary for the intended event. 'The Longview Rangefinder is accurate to within one foot per hundred yards .' 'His estimate was off by an order of magnitude .' 'The fork truck operator must be fairly accurate in his aim.' 'The precision of the daily measurements is dependent on a number of factors.'"
"In part three next month , we suggest ways of originating your own artwork so that you can design your very own printed circuit boards .",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"Monsieur Nýgre himself , who has originated the idea of sweetmeats of crystallised flowers -- you have seen his shop in this very street -- has supplied the violets . """,originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"In addition it was felt that if regional studios were established as well as transmitters , these would be able to originate their own material for local transmission , which would help redress any cultural imbalance in programming .",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"He then made a major contribution to the development of the internal combustion engine , originating the use of aluminium for pistons .",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"We believe , as did the Ancient Greeks who originated the word ‘ aristocracy ’ , that every man with the right attitude and talents , regardless of birth or riches , has a capacity of reaching … that status in its true sense . ’",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"And by the same token , there is no such thing as an author , that is to say , one who originates a work of fiction ab nihilo .",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
The agency originated no new creative work for the brands .,originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"William Morris , drawn into politics by the Bulgarian Atrocities agitation , had originated the trend for middle-class intellectuals disillusioned with liberal foreign policy to place their faith in the workers .",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"Waddell , a Professor of Tibetan at the University of London , believed that the Aryans were the bearers of culture and had originated all the main civilizations in history .",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
"If Burun had originated the plot , it was possible that he felt some responsibility towards Sidacai .",originate,Achieving_first,A Cognizer introduces a New_idea into society. 'It is difficult to imagine how different our lives would be without Edison's invention of the light bulb.'
The second generation thrombolytic agents are recombinant tissue plasminogen activator ( rt-PA ) and APSAC ( anistreplase ) .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
Currently available thrombolytic agents have several important limitations .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
After any effective thrombolytic agent the patient is usually left with a patent vessel .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
"THE only surprise in the history of interferon is its meteoric rise to fame as a cancer cure , after its earlier promise as an anti-viral agent .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
He conceded that high levels of pollution could have affected the dolphin 's defence mechanisms making them vulnerable to attack by an infectious agent .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
"Very recently it has been shown that treating prediabetic mice ( that is , before they develop symptoms ) with various chemical agents , including insulin , will prevent diabetes from developing .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
Various pharmacological agents can modulate the IP 3 R but their actions are not particularly specific .,agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
"Those patients at most risk when undergoing ERCP are the elderly , and previous workers have shown that age is a predisposing factor to hypoxia during ERCP when narcotic agents are used in conjunction with benzodiazepine sedation .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
"Britain and America are worried enough to have produced enough serum to immunise their troops against anthrax , one of the biological agents he is most likely to have .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
"Biological agents provide promising alternatives , but we need to understand more about their modes of action .",agent,Active_substance,A Substance causes an Effect. The Substance is produced by a process understood as directed towards the Effect. The Name for the material that makes up the substance may also be given. 'A rationale for using denatured gp160 as a therapeutic agent in HIV-infected people is to boost the immune response .' 'The quinolones now seem to be the antimicrobial agents of choice for acute bacterial prostatitis.' 'Hormonally active chemicals have the potential to cause significant environmental injury.' 'Only after the potion has been drunk does the active ingredient form. DNI' 'The sarin agent might have been a leftover shell from a chemical-arms dump. '
"So , come , let 's be done with it ! """,done,Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
Faith was done with old-fashioned equipment ; we needed more equipment to do the water-crossings ahead .,done,Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
"I am done with you ; you may lead your lives as you wish . """,done,Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
"I 'll take the English car and be done with it . """,done,Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
"Each day , when Tod and I are done with the Gazette , we take it back to the store .",done,Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
Lets wait and try to offset the amount we owe them with what they owe us - so I say wait until you get July and August done .,done,Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
"The Second Temple was finished in 515 b.c. , but much of the city still lay in ruins .",finished,Activity_done_state,An Agent has completed an Activity. '' 'Finally I am done cleaning the apartment.' 'Construction on the new Safeway was done by October.'
When Miss Thorne finished working on the scene he heard his companions sigh with relief .,finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
"She had finished tea , and the tray was still at her side .",finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
"Waiting and more waiting , thought Claudel as he finished breakfast .",finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
Then finish the vegetables .,finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
"Sometimes called Scotland 's Disgrace , because it was never finished for lack of funds , this fragment of a memorial to the fallen in the Napoleonic War was intended to be a facsimile of the parthenon .",finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
"“ It 's the best … it 's the best , ” but he never finished .",finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
Are you all finished now ?,finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
"Malone finished strongly and were rewarded with a try by Stuart Hooks in the final minute which was converted by Bush , whose place kicking was impeccable .",finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
"However , Price finished strongly and snatched one five minutes from the end and came very close to forcing a replay .",finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
"Although Pendero had finished strongly at Ascot , that was because it had been a truly run race and the leaders had finished tired .",finish,Activity_finish,"An Agent finishes an Activity, which can no longer logically continue. This frame is a subframe of Activity. '' 'Jason completed grading the papers late Sunday night.' 'Upon completion of the final exam, Ava tossed out her notes. '"
“ I keep getting interrupted .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
"John Surtees kept the British flag flying in 1964 , before Clark won his second title a year later .",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
"I kept expecting the teacher to praise her , but instead she suddenly cried out ,",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
"I kept saying to them all in my mind , ` You see ?",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
I have a friend who owns an ST and he keeps telling me to sell my C64 .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
Do n't keep painting over chipped or worn polish .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
"He kept thinking of the girl in Mu Chua 's House of the Ninth Ecstasy ; the singsong girl , White Orchid , who had looked so much like Vesa .",keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
"` I keep telling him people ca n't see him on the radio . """,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
I kept my hands clasped tightly to avoid the habitual gesture of hiding myself from sight .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
I said after last Tuesday 's game that if we kept working our luck would turn .,keep,Activity_ongoing,"An Agent is performing the portion of an Activity in which there is dynamic stability. '' 'Not noticing the hoards of people rushing by the window, Manny continued eating his lunch.' 'Keep living the dream!'"
"Under instructions from the Audit Commission , which oversees local-government finances , all councils suspended payments to the banks in November 1989 .",suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
"The CSCE on July 8 suspended the membership of the rump Yugoslavia , consisting of Serbia and Montenegro , until Oct. 14 .",suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
"Business suspended , thought Richard .",suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
Both countries suspended aid to the islands while the mercenaries were in control .,suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
THE United Nations suspended humanitarian aid operations in Bosnia-Herzegovina yesterday because of obstruction and interference by all three civil war factions .,suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
"The majority of the hunger strikers suspended their action on Oct. 12 after Moshe Shahal , the Israeli Minister of Police and Communications , announced the establishment of a special investigative committee to look into their demands .",suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
The blackout extended to news of the war and the German advance on Paris ; newspapers suspended publication temporarily and crowds gathered round the official bulletins pasted on the walls as rumour raced round the city .,suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
"BOSNIA 'S Muslim president yesterday suspended temporarily his participation in international peace talks in New York , saying he could not be involved as long as Serbs continued their offensive in eastern Bosnia and Sarajevo .",suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
The case was suspended indefinitely .,suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
The session was temporarily suspended .,suspend,Activity_pause,An Agent pauses in the course of an Activity. '' 'The government froze settlement construction in 1992 to facilitate peace talks.' 'The lifting of the nuclear freeze was deemed necessary to generate needed electricity.'
"To prepare adequately for a marathon , I think you should allow 26 weeks if you are inexperienced and at least 12 weeks if you have run several .",prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
You do not feel inhibited because you have n't prepared adequately or fear that other people might catch you out or ridicule you .,prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
But I did n't prepare carefully enough .,prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
"The allegations broke on Tuesday as Jackson was preparing for the first of two concerts in Bangkok , the first stop in the Asian swing of his Dangerous world tour .",prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
"North Korea has not conducted a nuclear test , but in early May 2005 , press reports indicated that U.S. satellite imagery had detected signs that North Korea could be preparing for a nuclear test to be conducted in June .",prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
"Many analysts now believe the talks are dead , and in early May 2005 there were reports that Washington and Tokyo were preparing to refer the issue to the UN Security Council .",prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
"`` Rhode Island is preparing itself for a major hurricane or other natural disaster , state and local officials testified at a field hearing of the Senate Homeland Security Committee Thursday , including establishing interoperable communications systems and community evacuation plans .",prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
[ Mississippi ] National Guard Prepares For Hurricane Season [ and Chemical Terrorism ],prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
Paula_Zahn : Today President Bush unveiled a seven point one billion dollar plan to prepare for a possible flu pandemic .,prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
"Carrying out Jihad is the main reason the members of AL-QAEDA have gathered , together with performing the different duties of Islam as much as possible , shouldering together the duty of Jihad and preparing the efficient duties during conflicts .",prepare,Activity_prepare,An Agent prepares for an Activity. '' 'The troops were preparing themselves for the mission.' 'The boats are getting ready to leave the pier.'
So you are now ready to go rabbiting .,ready,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied. In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity. Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity. This Salient_entity may also be an intentional agent, but need not be. 'She 's not ready ! DNI.' 'He 's ready to talk , I think .' 'Is the UK government ready to do a u-turn on passport-ID cards ?' 'Check and see if Sal is ready for the bathtub .' 'The world is finally prepared for him !'"
"He was worried about what the cell was planning , thought they were going too far and he was almost ready to come over . ''",ready,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied. In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity. Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity. This Salient_entity may also be an intentional agent, but need not be. 'She 's not ready ! DNI.' 'He 's ready to talk , I think .' 'Is the UK government ready to do a u-turn on passport-ID cards ?' 'Check and see if Sal is ready for the bathtub .' 'The world is finally prepared for him !'"
"He was mean of temper , ever ready for fisti-cuffs with all and sundry ; was fond of gambling on horses , dogs and cards ; would spend a lot of money drinking with his mates ; but would begrudge paying his small contribution to the upkeep of our home .",ready,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied. In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity. Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity. This Salient_entity may also be an intentional agent, but need not be. 'She 's not ready ! DNI.' 'He 's ready to talk , I think .' 'Is the UK government ready to do a u-turn on passport-ID cards ?' 'Check and see if Sal is ready for the bathtub .' 'The world is finally prepared for him !'"
"We are always ready to assist and advise in the development of video film for your products and company , where none is available .",ready,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied. In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity. Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity. This Salient_entity may also be an intentional agent, but need not be. 'She 's not ready ! DNI.' 'He 's ready to talk , I think .' 'Is the UK government ready to do a u-turn on passport-ID cards ?' 'Check and see if Sal is ready for the bathtub .' 'The world is finally prepared for him !'"
"` As you can see , I 'm not quite ready .",ready,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied. In many cases, the Protagonist is an intentional agent, but there are other uses in which the agent is deprofiled, and the Protagonist is an entity which is essential to the Activity. Alternatively, the Activity may be indicated by a Salient_entity which stands in for the Activity. This Salient_entity may also be an intentional agent, but need not be. 'She 's not ready ! DNI.' 'He 's ready to talk , I think .' 'Is the UK government ready to do a u-turn on passport-ID cards ?' 'Check and see if Sal is ready for the bathtub .' 'The world is finally prepared for him !'"
